label,size,avg_dynm_init_ns,avg_dynm_exec_ns,avg_symb_init_ns,avg_symb_exec_ns,avg_inst_exec_ns,cv_dynm_init,cv_dynm_exec,cv_symb_init,cv_symb_exec,cv_inst_exec
identity,512,11770691,48187,7426584,571754,27,0.24429040626257506,0.013646054848796139,0.2452179933506476,0.6757462086226151,0.3533108153396095
identity,1024,10804280,376678,7052028,404350,23,0.027815055852637865,0.12396654006833478,0.29265522549939305,0.29599186088195906,0.11503266569846046
identity,2048,9949784,1655051,5874296,310266,19,0.09252516159300235,0.03511012810810409,0.008014537066727272,0.12966233749530048,0.07767077449077694
identity,4096,10714001,7541584,5880031,382980,21,0.09403394073786452,0.015409554179174218,0.003793878131084765,0.1275281894124992,0.07050116453778216
identity,8192,9995865,37638976,6635373,316656,22,0.013951354809872033,0.288269415093681,0.10256513695705735,0.1394154649584413,0.11102697698927572
scan,1,25698957,13625,22380288,186863,19,0.08994001683932719,0.029334900859613086,0.12041706838917328,0.08481420770306211,0.1392500690033995
reduce_max,64,13015301,29937,6061422,713702,44,0.18369460767481877,0.28327080671821914,0.06489499351548024,0.2888440623415722,0.9506745034024664
reduce_max,128,12029785,102463,8151957,463839,20,0.4373760484037143,0.3518079760293836,0.3918765135818668,0.17073459321309756,0.15
reduce_max,256,8941693,220777,6384332,446577,25,0.07915256635571723,0.10394654725375885,0.01321439103039143,0.24188127034654863,0.08217102629471576
reduce_max,512,11203261,914837,9513455,520328,20,0.20863758971627558,0.12388901421090778,0.46015280232538297,0.2144717590100118,0.0
reduce_max,1024,10199240,2980666,8877916,423643,31,0.20818115746998028,0.0015423402956694064,0.25045789706495347,0.17525997170280058,0.6179756148602586
reduce_max,2048,9033805,13026105,7141063,417789,20,0.08643945611210042,0.11230701973263481,0.06676890210400249,0.1356944718730201,0.028394275533916023
reduce_max,4096,9346879,48284821,8593559,389762,22,0.035070097398125624,0.002449111254503523,0.20172316180677827,0.054142619392186106,0.12026142323020866
reduce_max,8192,9682181,196103143,7191122,376136,20,0.07049320512274841,0.07118198234543914,0.0981459552165166,0.004959256560747475,0.027936303347885116
constant,2048,16196753,2720039,9370928,613014,35,0.37513187128443864,0.23473249374083618,0.3662603720209134,0.38499425019652755,0.05891507545658865
